task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	f7/bc6fd2	3436409	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2023-10-18 17:30:46.166	501ms	22ms	76.3%	0	0	120.5 KB	5 KB
1	9a/be59ff	3436394	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-18 17:30:46.145	670ms	0ms	63.8%	3.4 MB	7.3 MB	164.2 KB	5 KB
5	ca/d63f30	3436406	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2023-10-18 17:30:46.157	822ms	0ms	96.5%	3.2 MB	9.4 MB	1.5 MB	4.2 KB
3	9c/1708cb	3436342	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-10-18 17:30:45.657	1.3s	0ms	84.8%	3.1 MB	9.4 MB	1.5 MB	897 B
2	d6/592fa6	3437038	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-18 17:30:47.532	1.2s	1s	104.1%	3.2 MB	5.4 MB	3.1 MB	8.3 MB
6	76/397607	3437184	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-18 17:30:48.334	2.6s	2s	73.7%	85.2 MB	15.2 GB	19.3 MB	17.2 KB
11	79/d138f2	3437714	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	COMPLETED	0	2023-10-18 17:30:55.646	12.6s	13s	141.6%	1.5 GB	2 GB	38.9 MB	9.1 MB
8	c1/03de85	3437716	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	COMPLETED	0	2023-10-18 17:30:55.651	13.3s	13s	342.8%	2.1 GB	2.5 GB	80.5 MB	40 MB
15	79/afded5	3439135	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRR13500958)	COMPLETED	0	2023-10-18 17:31:08.264	11.5s	10s	125.4%	1.2 GB	1.7 GB	44.9 MB	13.1 MB
13	bc/6165d9	3439280	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5743893)	COMPLETED	0	2023-10-18 17:31:08.970	11.4s	11s	135.5%	1.4 GB	1.9 GB	36.5 MB	6.4 MB
